Date time,Latitude,Longitude,Magnitude,Depth (km),Location,Agency,Cluster
2022-03-30 11:35:32.712688+00:00,0.01849910244,124.4358749,3.830071554,28,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-03-31 04:44:44.317037+00:00,0.02605052292,124.4637756,4.228097603,26,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-04-01 17:18:09.348727+00:00,0.1876201481,124.2915878,3.066905554,35,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-04-01 22:01:47.187878+00:00,0.381334424,124.2655792,3.197893284,268,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-04-12 16:53:12.482792+00:00,0.7972736359,125.9606781,3.607535176,25,Northern Molucca Sea,BMKG,3
2022-04-13 11:56:16.028446+00:00,2.734371662,125.6222305,3.726708112,147,"Talaud Islands, Indonesia",BMKG,4
2022-04-13 20:18:23.577046+00:00,1.158366084,125.9629135,4.148047913,10,Northern Molucca Sea,BMKG,1
2022-04-16 01:57:14.027718+00:00,2.667163134,125.9284515,4.444933265,48,"Talaud Islands, Indonesia",BMKG,1
2022-04-16 09:11:31.764585+00:00,0.4018955529,123.8629456,3.488915344,143,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-04-25 10:28:00.334189+00:00,1.60850513,125.7893143,3.641060242,117,Northern Molucca Sea,BMKG,4
2022-04-28 09:42:52.198080+00:00,0.824848175,125.9954529,3.185996333,91,Northern Molucca Sea,BMKG,4
2022-05-01 13:25:04.145998+00:00,0.2497781366,124.6926346,3.216999524,19,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-05-02 15:22:31.918176+00:00,0.7143756151,125.7984924,3.420745313,10,Northern Molucca Sea,BMKG,3
2022-05-03 01:02:05.880591+00:00,0.1942350268,123.7995682,3.382021434,150,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-05-03 09:10:49.097185+00:00,2.446128368,125.4561768,4.290763144,117,"Talaud Islands, Indonesia",BMKG,1
2022-05-03 11:47:32.435935+00:00,0.5211117864,123.6809692,3.819398379,234,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-05-06 17:14:06.430602+00:00,0.3881071508,125.460762,3.670486861,10,Northern Molucca Sea,BMKG,3
2022-05-08 17:50:35.883638+00:00,1.473133445,124.723671,3.462978417,213,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-05-11 10:22:37.572709+00:00,0.2190237045,125.9987259,3.106340725,10,Northern Molucca Sea,BMKG,3
2022-05-11 11:52:40.206546+00:00,1.255780935,124.5441208,4.668178649,170,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-05-11 14:26:28.780782+00:00,0.04380112886,125.1158676,3.649846113,10,Northern Molucca Sea,BMKG,3
2022-05-12 14:39:43.882536+00:00,2.078762531,124.668808,4.082840071,270,Celebes Sea,BMKG,2
2022-05-17 02:21:51.005713+00:00,0.7733949423,123.9221268,3.497331231,242,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-05-17 20:31:18.378159+00:00,1.106528044,123.33255,3.10767537,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-05-19 02:30:57.836723+00:00,0.182486251,124.3709641,3.772498199,31,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-05-21 21:28:30.856565+00:00,0.8225421906,125.4577942,4.443651371,18,Northern Molucca Sea,BMKG,1
2022-05-22 12:13:50.293593+00:00,0.006679767743,125.0883179,3.108702307,10,Northern Molucca Sea,BMKG,3
2022-05-25 22:10:00.859006+00:00,0.5678504705,125.0741882,3.128502196,19,Northern Molucca Sea,BMKG,3
2022-05-26 14:41:21.102031+00:00,1.25394094,124.2687149,3.855757731,256,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-05-29 12:56:23.272295+00:00,0.5949295163,125.3545532,3.707821217,22,Northern Molucca Sea,BMKG,3
2022-06-04 17:48:35.246123+00:00,1.569942713,123.1194687,3.063546596,10,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-06-06 16:32:59.447685+00:00,1.802268147,125.3009109,4.245952733,115,Northern Molucca Sea,BMKG,1
2022-06-07 13:24:14.181584+00:00,0.1770460457,123.6973648,5.685863675,143,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-06-13 09:33:50.593905+00:00,0.4660232067,125.8889923,3.433112436,10,Northern Molucca Sea,BMKG,3
2022-06-15 11:22:34.010856+00:00,0.4742519259,123.5263824,4.233366798,237,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-06-20 16:41:15.446736+00:00,0.5453288555,124.9663467,4.006375671,73,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-06-22 02:17:18.071480+00:00,0.09561210126,125.3538132,4.08856842,10,Northern Molucca Sea,BMKG,1
2022-06-22 15:03:00.895103+00:00,2.149947643,124.7956009,4.283183853,219,Celebes Sea,BMKG,2
2022-06-26 17:18:43.016500+00:00,0.03322515637,124.4844818,3.381625095,27,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-06-27 19:50:13.894613+00:00,0.3947431147,125.4669952,3.762445204,10,Northern Molucca Sea,BMKG,3
2022-06-29 00:41:31.561668+00:00,0.751709044,124.935379,4.215295163,16,"Minahassa Peninsula, Sulawesi",BMKG,1
2022-06-30 08:57:44.814898+00:00,1.188791156,125.8924255,4.407589521,26,Northern Molucca Sea,BMKG,1
2022-06-30 12:15:20.156202+00:00,0.04553552344,125.7063141,3.212434199,19,Northern Molucca Sea,BMKG,3
2022-07-05 10:40:36.051337+00:00,0.00570382271,123.280838,2.923179193,129,"Minahassa Peninsula, Sulawesi",BMKG,4
2022-07-08 04:28:19.596682+00:00,2.097462177,124.8385468,4.41228385,10,Celebes Sea,BMKG,1
2022-07-11 16:39:48.959356+00:00,1.367186427,124.4828415,4.073144747,248,"Minahassa Peninsula, Sulawesi",BMKG,2
2022-07-11 23:12:05.478613+00:00,0.5655040741,125.6663513,3.695090798,10,Northern Molucca Sea,BMKG,3
2022-07-13 07:48:59.680793+00:00,0.9347374439,123.2914124,3.32460988,20,"Minahassa Peninsula, Sulawesi",BMKG,3
2022-07-16 06:35:45.658453+00:00,1.475485802,124.0823212,2.923921749,10,"Minahassa Peninsula, Sulawesi",BMKG,3
